dashboard,首页
topo,拓扑
resources,配置
m-branch,创建分局
m-entrance,创建接入点
m-building,创建楼宇
m-olt,创建OLT
m-head,创建EOC局端
m-splite,创建分光器
m-areas,配置管理
m-branches_query,所有分局
m-entrances_query,所有接入点
m-buildings_query,所有楼宇
m-olts_query,所有OLT
m-onus_query,所有ONU
m-heads_query,所有EOC局端
m-terminals_query,所有EOC终端
m-splites_query,所有分光器
m-import,批量导入
m_config_task,配置备份
m-onus_ip,重复IP
m-onus_mac,重复MAC
m-device,资源核查
r-device,配置核查
alarms,故障
create_rule,创建通知规则
knowledges_new,创建告警知识库
active_alarm,活动告警
group_alarm,群障管理
history_alarm,历史告警
alarm_notification,通知规则
alarm_knowledges,告警知识库
pontests,测试
user_declarations,综合测试
simulations,仿真测试
odns,ODN测试
test0,测试结果
statistics,测试统计
routine_tests,光路质量监控
fault_index,当前预警
odn_statistic,ODN故障统计
standard_port_rate,端口达标率统计
dropped_port,易掉线率统计
dropped_rate,掉线率统计
templates,查看模版
commands,查看命令
performance,性能
m-provinces,全省统计
m-regions,地市统计
m-areas,区县统计
m-branchs,分局统计
m-entrances,接入点统计
m-olts,OLT统计
m-olts-upports,OLT-上联口统计
m-olt-ports,OLT-PON口统计
m-onus,ONU统计
m-custom_filter,ONU定制筛选
m-custom_filter-port,用户口定制筛选
m-filter_rule,筛选规则管理
capability,能力
present_situation,设备现状统计
onu_changes,ONU数量变化统计
olt_border_changes,OLT板卡类型统计
onu_border_changes,ONU板卡类型统计
slot_statistics,槽位统计
scenarios,ONU应用场景
olt_border_version,OLT板卡版本统计
onu_version,ONU版本统计
olt_border_status,OLT板卡状态分析
onu_status,ONU状态分析
olt_free,OLT板卡空闲分析
onu_free,ONU端口空闲分析
adsl,ADSL端口提速
traffics,流量
olt,最忙的OLT
pon,最忙的PON口
onu,最忙的ONU
user,最忙的用户
entrance_traffic,各接入点类型流量
fttx_traffic,各应用场景类型流量
rms,报表
performance,性能报表
alarm,告警报表
convenient_report,一键式报表
gis,GIS
system,系统
create_code,创建字典值
create_engineer,创建告警人员
create_user,创建用户
create_role,创建角色
create_domain,创建管理域
users,用户管理
roles,角色管理
domains,管理域
online_users,在线用户
fault_event_classes,告警设置
fault_filters,告警屏蔽规则
dic_codes,字典管理
thresholds,阈值管理
engineers,告警人员
servers,系统性能
tl1_ems_infos,EMS管理
collect_means,采集方式管理
operationlog,操作日志
securities,安全日志
personal_info,个人信息
update_password,修改密码
sysnotice,系统通知
m-import_onus,已导入ONU
